id,split,semantic_id,pattern_id,group_tag,role,text
839,validation,sem_0187,eat:decl,para3,base,He eat lunch.
840,validation,sem_0077,move:decl,para3,base,You walk to the park.
841,validation,sem_0139,learn:front_place,para3,order,"at the park, You review a book."
842,validation,sem_0189,move:decl,para3,lex,You run to home.
843,validation,sem_single_0992,play:wh_when,singleton,single,When do You play?
844,validation,sem_single_0943,pref:wh_when,singleton,single,When does She like?
845,validation,sem_0111,social:front_time,para3,order,"Now, We use a computer."
846,validation,sem_0068,watch:present_cont,para3,tense,They are seeing a game.
847,validation,sem_0131,eat:past_simple,para3,tense,We ordered lunch.
848,validation,sem_single_0946,drink:modal_can,singleton,single,You can have lunch.
849,validation,sem_0136,social:front_place,para3,order,"in school, We bring a phone."
850,validation,sem_0288,call:decl,para3,base,She text my father.
851,validation,sem_0026,play:future_will,para4,tense,He will play a song.
852,validation,sem_0052,watch:decl,para4,lex,I watch a film.
853,validation,sem_0047,move:decl,para4,base,You jog to the station.
854,validation,sem_0025,learn:modal_can,para4,tense,He can learn a novel.
855,validation,sem_0183,move:decl,para3,lex,We come to the park.
856,validation,sem_0176,call:front_time,para3,order,"Today, I contact my father."
857,validation,sem_0007,watch:front_place,para4,order,"in the library, You observe a film."
858,validation,sem_seed_social_imperative,social:imperative,singleton,single-seed,Please finish a movie.
859,validation,sem_0074,learn:decl,para3,base,We review a book.
860,validation,sem_single_0981,acq:negative_simple,singleton,single,She does not get a sandwich.
861,validation,sem_0146,watch:decl,para3,base,She observe a movie.
862,validation,sem_0300,call:decl,para3,lex,I text a friend.
863,validation,sem_0047,move:decl,para4,lex,You return at the station.
864,validation,sem_seed_social_ynq_do,social:ynq_do,singleton,single-seed,do They finish dinner?
865,validation,sem_0074,learn:front_place,para3,order,"in the cafe, We review a book."
866,validation,sem_0166,learn:going_to,para3,tense,He is going to study a song.
867,validation,sem_0014,pref:decl,para4,lex,He like a book.
868,validation,sem_0284,acq:decl,para3,lex,He get pizza.
869,validation,sem_0090,eat:decl,para3,base,I have pizza.
870,validation,sem_0175,pref:decl,para3,base,They like tea.
871,validation,sem_single_0911,learn:decl,singleton,single,I learn a novel.
872,validation,sem_0114,social:decl,para3,base,I help my mother.
873,validation,sem_0049,move:decl,para4,lex,I arrive at the town.
874,validation,sem_0123,move:decl,para3,lex,We arrive at home.
875,validation,sem_0144,call:future_will,para3,tense,She will contact my teacher.
876,validation,sem_0075,social:going_to,para3,tense,She is going to choose coffee.
877,validation,sem_0025,learn:decl,para4,lex,He read a book.
878,validation,sem_0072,move:decl,para3,base,I return at the town.
879,validation,sem_0037,eat:decl,para4,base,We have lunch.
880,validation,sem_0252,pref:front_place,para3,order,"at the park, We enjoy music."
881,validation,sem_0272,call:decl,para3,base,I phone my father.
882,validation,sem_seed_watch_decl,watch:decl,singleton,single-seed,He view a show.
883,validation,sem_0038,eat:front_place,para4,order,"at the office, They order dinner."
884,validation,sem_0037,eat:present_cont,para4,tense,We are haveing lunch.
885,validation,sem_seed_call_comparative,call:comparative,singleton,single-seed,This book is better than that show.
886,validation,sem_single_0972,play:wh_when,singleton,single,When do I play?
887,validation,sem_0017,social:decl,para4,lex,He start pizza.
888,validation,sem_seed_social_comparative,social:comparative,singleton,single-seed,This book is better than that town.
889,validation,sem_seed_watch_perfect_pr,watch:perfect_pr,singleton,single-seed,We have saw a show.
890,validation,sem_0255,pref:decl,para3,lex,You like a game.
891,validation,sem_single_0896,watch:ynq_do,singleton,single,does He observe a game?
892,validation,sem_0120,play:decl,para3,base,We play a song.
893,validation,sem_seed_drink_going_to,drink:going_to,singleton,single-seed,I am going to drink coffee.
894,validation,sem_seed_call_wh_where,call:wh_where,singleton,single-seed,Where do I contact?
895,validation,sem_seed_learn_modal_can,learn:modal_can,singleton,single-seed,They can read a song.
896,validation,sem_seed_watch_ynq_do,watch:ynq_do,singleton,single-seed,do I watch a movie?
897,validation,sem_0110,acq:decl,para3,base,They get a movie.
898,validation,sem_0031,social:front_time,para4,order,"Now, He use a phone."
899,validation,sem_seed_eat_future_will,eat:future_will,singleton,single-seed,He will eat a sandwich.
900,test,sem_0212,learn:decl,para3,base,You read a song.
901,test,sem_seed_social_emph_do,social:emph_do,singleton,single-seed,They do use a phone.
902,test,sem_0041,social:decl,para4,base,I choose a game.
903,test,sem_seed_watch_negative_simple,watch:negative_simple,singleton,single-seed,He does not view a film.
904,test,sem_0175,pref:decl,para3,lex,They prefer coffee.
905,test,sem_0132,drink:going_to,para3,tense,You are going to sip juice.
906,test,sem_seed_social_perfect_pr,social:perfect_pr,singleton,single-seed,We have helped my father.
907,test,sem_seed_call_future_will,call:future_will,singleton,single-seed,We will call my teacher.
908,test,sem_0019,eat:front_time,para4,order,"Yesterday, You order a sandwich."
909,test,sem_seed_drink_past_cont,drink:past_cont,singleton,single-seed,We were sipping juice.
910,test,sem_0017,social:perfect_pr,para4,tense,He has made a sandwich.
911,test,sem_0017,social:front_place,para4,order,"in the town, He make a sandwich."
912,test,sem_seed_pref_because_cause,pref:because_cause,singleton,single-seed,"They prefer a show, because it is warm."
913,test,sem_0304,drink:decl,para3,base,She drink juice.
914,test,sem_0141,move:front_time,para3,order,"Today, I walk to the station."
915,test,sem_0180,social:decl,para3,lex,I start a ticket.
916,test,sem_single_0987,eat:wh_where,singleton,single,Where does He order?
917,test,sem_0197,eat:decl,para3,lex,You have dinner.
918,test,sem_0175,pref:modal_can,para3,tense,They can like tea.
919,test,sem_0030,learn:decl,para4,lex,We learn music.
920,test,sem_seed_pref_decl,pref:decl,singleton,single-seed,They like a game.
921,test,sem_0053,eat:decl,para4,lex,She order pizza.
922,test,sem_0038,eat:decl,para4,lex,They eat lunch.
923,test,sem_single_0951,learn:front_time,singleton,single,"Yesterday, You learn a novel."
924,test,sem_seed_drink_because_cause,drink:because_cause,singleton,single-seed,"We sip water, because it is warm."
925,test,sem_0042,watch:decl,para4,lex,I watch a game.
926,test,sem_0043,learn:front_time,para4,order,"Now, I review a book."
927,test,sem_seed_call_decl,call:decl,singleton,single-seed,They phone my teacher.
928,test,sem_0098,move:decl,para3,base,She visit at the office.
929,test,sem_0275,drink:decl,para3,base,She sip coffee.
930,test,sem_0308,pref:decl,para3,base,They love a song.
931,test,sem_0007,watch:modal_can,para4,tense,You can observe a film.
932,test,sem_seed_eat_imperative,eat:imperative,singleton,single-seed,Please eat pizza.
933,test,sem_0055,social:decl,para4,lex,They make a game.
934,test,sem_0020,move:front_place,para4,order,"to the city, She come."
935,test,sem_0007,watch:decl,para4,base,You observe a film.
936,test,sem_0006,move:decl,para4,base,I walk to the town.
937,test,sem_0205,pref:decl,para3,lex,You prefer dinner.
938,test,sem_seed_call_wh_what,call:wh_what,singleton,single-seed,What does She phone?
939,test,sem_0012,social:decl,para4,base,I bring a book.
940,test,sem_seed_watch_past_cont,watch:past_cont,singleton,single-seed,She was watching a game.
941,test,sem_seed_acq_imperative,acq:imperative,singleton,single-seed,Please get a song.
942,test,sem_0116,call:decl,para3,base,You contact my teacher.
943,test,sem_0110,acq:decl,para3,lex,They pick a film.
944,test,sem_0071,pref:perfect_pr,para3,tense,We have preferred a sandwich.
945,test,sem_0049,move:front_time,para4,order,"Today, I come to the town."
946,test,sem_seed_play_wh_where,play:wh_where,singleton,single-seed,Where do I play?
947,test,sem_0251,social:going_to,para3,tense,You are going to finish dinner.
948,test,sem_0141,move:decl,para3,lex,I jog to the station.
949,test,sem_0010,learn:decl,para4,base,She read a novel.
950,test,sem_0042,watch:decl,para4,base,I see a game.
951,test,sem_seed_pref_conditional_if,pref:conditional_if,singleton,single-seed,"If it is warm, They prefer a book."
952,test,sem_0148,call:decl,para3,base,They contact a friend.
953,test,sem_seed_social_past_simple,social:past_simple,singleton,single-seed,He helped my father.
954,test,sem_0262,drink:decl,para3,base,He sip tea.
955,test,sem_0295,drink:decl,para3,base,They sip tea.
956,test,sem_0147,watch:decl,para3,lex,He see a film.
957,test,sem_0304,drink:decl,para3,lex,She have water.
958,test,sem_0233,watch:front_time,para3,order,"Now, You see a game."
959,test,sem_seed_acq_decl,acq:decl,singleton,single-seed,We buy a computer.
960,test,sem_0000,eat:front_time,para4,order,"Yesterday, You have a sandwich."
961,test,sem_0033,social:front_place,para4,order,"at the library, They finish lunch."
962,test,sem_0034,pref:front_place,para4,order,"in the park, He prefer lunch."
963,test,sem_0263,pref:future_will,para3,tense,We will like water.
964,test,sem_0272,call:decl,para3,lex,I call my mother.
965,test,sem_0044,learn:front_place,para4,order,"in the office, He read a novel."
966,test,sem_0032,acq:front_time,para4,order,"Yesterday, We buy a song."
967,test,sem_0114,social:decl,para3,lex,I bring my father.
968,test,sem_single_0977,move:past_simple,singleton,single,We went to home.
969,test,sem_seed_acq_negative_simple,acq:negative_simple,singleton,single-seed,He does not purchase a book.
970,test,sem_single_0999,drink:wh_when,singleton,single,When do You drink?
971,test,sem_seed_social_present_cont,social:present_cont,singleton,single-seed,They are helping my father.
972,test,sem_0107,drink:decl,para3,lex,They sip lunch.
973,test,sem_0121,move:decl,para3,lex,You go to the town.
974,test,sem_0228,eat:decl,para3,base,She eat dinner.
975,test,sem_0034,pref:decl,para4,lex,He love dinner.
976,test,sem_0038,eat:decl,para4,base,They order dinner.
977,test,sem_0278,move:front_place,para3,order,"at the cafe, They arrive."
978,test,sem_0033,social:decl,para4,lex,They take dinner.
979,test,sem_0286,learn:front_place,para3,order,"in the cafe, They read a novel."
980,test,sem_seed_watch_wh_what,watch:wh_what,singleton,single-seed,What do We observe?
981,test,sem_0154,call:front_time,para3,order,"Today, You phone my teacher."
982,test,sem_0052,watch:future_will,para4,tense,I will observe a movie.
983,test,sem_single_0914,pref:comparative,singleton,single,You prefer a novel to a book.
984,test,sem_0026,play:decl,para4,base,He play a song.
985,test,sem_0240,acq:front_place,para3,order,"in the park, They get a computer."
986,test,sem_0093,social:front_time,para3,order,"Today, We finish dinner."
987,test,sem_0257,eat:decl,para3,base,They order pizza.
988,test,sem_single_0985,social:because_cause,singleton,single,"They use a phone, because it is warm."
989,test,sem_0060,learn:decl,para3,lex,She read a song.
990,test,sem_seed_drink_conditional_if,drink:conditional_if,singleton,single-seed,"If it is warm, I drink water."
991,test,sem_0147,watch:decl,para3,base,He observe a movie.
992,test,sem_0162,learn:decl,para3,lex,You read a novel.
993,test,sem_seed_acq_wh_where,acq:wh_where,singleton,single-seed,Where do I get?
994,test,sem_single_0945,social:imperative,singleton,single,Please take pizza.
995,test,sem_0130,pref:decl,para3,base,I love a song.
996,test,sem_single_0934,learn:past_cont,singleton,single,We were readding a book.
997,test,sem_0118,learn:decl,para3,base,We learn a song.
998,test,sem_0260,move:decl,para3,base,He travel to the station.
999,test,sem_seed_drink_ynq_do,drink:ynq_do,singleton,single-seed,do I drink coffee?
